node_id,concept,country_of_citizenship,date_of_birth,enwiki_title,handedness,height,inception,mass,name,native_language,nickname,owners,place_of_birth,schools_attended,sex_or_gender,work_period_end,work_period_start
Q5090064,player,United States of America,30 October 1935,George Brown (basketball),,198 centimetre,,190 pound,George Brown,English,,,Detroit,Cass Technical High School; Wayne State University,male,1958,1957
Q62860683,player,United States of America,04 November 2000,Tyrese Maxey,,1.88 metre,,,Tyrese Maxey,,,,Dallas,South Garland High School; University of Kentucky,male,,
Q580808,player,United States of America,15 October 1972,Fred Hoiberg,,193 centimetre,,92 kilogram,Fred Hoiberg,English,,,Lincoln,Iowa State University; Ames High School,male,2005,1995
Q581408,player,United States of America,02 September 1973,Donnie Boyce,,196 centimetre,,89 kilogram,Donnie Boyce,English,,,Chicago,Proviso East High School; University of Colorado Boulder,male,2006,1995
Q2256877,player,United States of America,16 July 1965,"Charles Smith (basketball, born 1965)",,205 centimetre,,105 kilogram,Charles Smith,English,,,Bridgeport,University of Pittsburgh; Warren Harding High School,male,1997,1988
Q2275193,player,United States of America,16 October 1941,Mel Counts,,213 centimetre,,105 kilogram,Mel Counts,English,,,Coos Bay,Marshfield High School; Oregon State University,male,1976,1964
Q3700216,player,United States of America,05 November 1989,D. J. Kennedy,,196 centimetre,,97 kilogram,D. J. Kennedy,,,,Pittsburgh,St. John's University; Schenley High School,male,,2011
Q62869978,player,United States of America,03 November 2000,Jeremiah Robinson-Earl,,,,,Jeremiah Robinson-Earl,,,,Kansas City,Bishop Miege High School; Villanova University,male,,
Q3699432,player,United States of America,23 September 1971,Cuonzo Martin,,198 centimetre,,98 kilogram,Cuonzo Martin,English,Zo,,East St. Louis,East St. Louis Senior High School; Purdue University; East St. Louis Lincoln High School,male,1998,1995
Q3701374,player,United States of America,28 November 1977,Dan Langhi,,211 centimetre,,220 pound,Dan Langhi,English,,,Chicago,Marshall County High School; Vanderbilt University,male,2010,2000
Q3703027,player,United States of America,13 May 1945,Dave Deutsch,,185 centimetre,,77 kilogram,Dave Deutsch,English,,,Brooklyn,University of Rochester,male,,
Q3702067,player,United States of America,26 February 1924,Tex Ritter (basketball),,188 centimetre,,185 pound,Tex Ritter,English,,,Richmond,Madison High School,male,1951,
Q2273690,player,United States of America,27 October 1967,Jaren Jackson,,193 centimetre,,86 kilogram,Jaren Jackson,English,,,New Orleans,Georgetown University; Cohen College Prep High School,male,2002,1989
Q63190352,player,United States of America,29 February 2000,Tyrese Haliburton,,196 centimetre,,172 pound,Tyrese Haliburton,,,,Oshkosh,Oshkosh North High School; Iowa State University,male,,
Q62942517,player,United States of America,14 September 1997,Jared Harper,,180 centimetre,,79 kilogram,Jared Harper,,,,Mableton,Pebblebrook High School; Auburn University,male,,2019
Q580435,player,United States of America,01 February 1970,Eric Mobley,,211 centimetre,,107 kilogram,Eric Mobley,English,Emob; Mobes; The Beast,,The Bronx,John Philip Sousa Junior High School; University of Pittsburgh,male,1997,1994
Q2260799,player,United States of America,02 September 1989,Marcus Morris Sr.,,206 centimetre,,107 kilogram,Marcus Morris Sr.,,,,Philadelphia,University of Kansas,male,,2011
Q3702301,player,United States of America,01 August 1922,Danny Wagner,,183 centimetre,,77 kilogram,Danny Wagner,English,,,Houston,Schreiner University,male,1950,1947
Q3702816,player,United States of America,15 August 1952,Darrell Elston,,193 centimetre,,190 pound,Darrell Elston,English,,,Tipton,Indiana University Bloomington; University of North Carolina at Chapel Hill,male,1975,1974
Q3702822,player,United States of America,14 September 1960,Darrell Lockhart,,206 centimetre,,111 kilogram,Darrell Lockhart,English,,,Thomaston,Auburn University,male,,
Q3703037,player,United States of America,23 December 1943,Dave Lattin,,198 centimetre,,225 pound,Dave Lattin,English,,,Houston,Worthing High School; University of Texas at El Paso,male,1973,1967
Q5108090,player,United States of America,13 October 1987,"Chris Smith (basketball, born 1987)",,188 centimetre,,91 kilogram,Chris Smith,English,,,Millstone Township,Manhattan College; Saint Benedict's Preparatory School; Lakewood High School,male,,2012
Q3696461,player,United States of America,16 February 1964,Craig Neal,,196 centimetre,,165 pound,Craig Neal,English,Noodles,,Muncie,Washington High School; Georgia Tech,male,1995,1988
Q3699246,player,United States of America,19 June 1922,Whitey Von Nieda,,185 centimetre,,77 kilogram,Whitey Von Nieda,English,,,Ephrata,Ephrata High School,male,1953,1946
Q3701360,player,United States of America,14 June 1967,Dan Godfread,,208 centimetre,,250 pound,Dan Godfread,English,,,Fort Wayne,University of Evansville,male,,
Q580031,player,Mexico,01 April 1985,Gustavo Ay%C3%B3n,,208 centimetre,,113 kilogram,Gustavo Ayón,,,,Tepic,Universidad Popular Autónoma del Estado de Puebla,male,,2006
Q581074,player,United States of America,25 March 1972,Lawrence Moten,,196 centimetre,,84 kilogram,Lawrence Moten,English,Sam; Little Sam; Poetry,,"Washington, D.C.",New Hampton School; Syracuse University; Archbishop Carroll High School,male,2006,1995
Q581976,player,United States of America,26 November 1963,Mario Elie,,196 centimetre,,95 kilogram,Mario Elie,English,,,New York City,Power Memorial Academy,male,2001,1986
Q586182,player,United States of America,03 August 1955,Wilson Washington,,206 centimetre,,103 kilogram,Wilson Washington,English,,,Norfolk,Booker T. Washington High School; University of Maryland,male,1983,1977
Q5255286,player,United States of America,18 November 1969,Demetrius Calip,,185 centimetre,,75 kilogram,Demetrius Calip,English,,,Flint,University of Michigan,male,,
Q3701018,player,United States of America,16 August 1919,Dale Hamilton,,183 centimetre,,82 kilogram,Dale Hamilton,English,,,Fort Wayne,Franklin College,male,,
Q583966,player,United States of America,17 September 1957,Greg Kelser,,201 centimetre,,86 kilogram,Greg Kelser,English,,,Panama City,Henry Ford High School; Michigan State University,male,1985,1979
Q601776,player,United States of America,31 October 1968,Antonio Davis,,206 centimetre,,111 kilogram,Antonio Davis,English,,,Oakland,University of Texas at El Paso; McClymonds High School,male,2006,1990
Q3714596,player,United States of America,24 October 1964,Doug Lee (basketball),,196 centimetre,,200 pound,Doug Lee,English,,,Washington,Texas A&M University,male,2000,1988
Q3715641,player,United States of America,28 February 1965,Duane Ferrell,,201 centimetre,,95 kilogram,Duane Ferrell,English,Paco,,Baltimore,Georgia Tech; Calvert Hall College High School,male,1999,1988
Q3716813,player,United States of America,07 February 1963,Dwayne McClain,,198 centimetre,,185 pound,Dwayne McClain,English,,,Worcester,Villanova University; Holy Name Central Catholic High School,male,1997,1985
Q3718626,player,United States of America,27 April 1942,Al Beard,,206 centimetre,,200 pound,Al Beard,English,,,Fort Valley,Norfolk State University,male,1968,1967
Q3718844,player,United States of America,25 July 1933,Ed Fleming,,190 centimetre,,189 pound,Ed Fleming,English,,,Pittsburgh,Westinghouse High School; Niagara University,male,1964,1955
Q3718845,player,United States of America,11 May 1927,Ed Gayda,,193 centimetre,,95 kilogram,Ed Gayda,English,,,Hoquiam,Washington State University; Hoquiam High School,male,1951,1950
Q3718942,player,United States of America,07 May 1962,Eddie Lee Wilkins,,208 centimetre,,220 pound,Eddie Lee Wilkins,English,,,Cartersville,Cass High School,male,1993,
Q3714021,player,United States of America,17 July 1972,Donny Marshall,,201 centimetre,,230 pound,Donny Marshall,English,,,Detroit,Federal Way High School; University of Connecticut,male,2003,1995
Q3714043,player,United States of America,23 June 1974,Dontonio Wingfield,,203 centimetre,,256 pound,Dontonio Wingfield,English,,,Albany,University of Cincinnati; University of Cincinnati; Westover Comprehensive High School,male,1998,1994
Q3718504,player,United States of America,18 April 1944,Tyrone Britt,,193 centimetre,,190 pound,Tyrone Britt,English,,,Philadelphia,Edison/Fareira High School,male,1968,1967
Q3718835,player,United States of America,13 August 1939,Ed Burton,,198 centimetre,,102 kilogram,Ed Burton,English,,,Blytheville,Michigan State University,male,,
Q3718829,player,United States of America,08 October 1925,Edward Bartels,,196 centimetre,,195 pound,Edward Bartels,English,,,New York City,North Carolina State University,male,1951,1949
Q3718875,player,United States of America,11 June 1953,Ed Tapscott,,,,,Ed Tapscott,English,,,"Washington, D.C.",Sidwell Friends School; Tufts University,male,,
Q3718872,player,United States of America,13 September 1959,Edmund Sherod,,188 centimetre,,77 kilogram,Ed Sherod,English,,,Richmond,,male,,
Q3718868,player,United States of America,15 August 1947,John Arthurs,,193 centimetre,,185 pound,John Arthurs,English,,,New Orleans,Tulane University; De La Salle High School,male,,
Q5318021,player,United States of America,02 March 1963,Dwayne Polee,,196 centimetre,,82 kilogram,Dwayne Polee,English,,,Los Angeles,"University of Nevada, Las Vegas; Manual Arts High School",male,1991,1986
Q5325864,player,United States of America,05 January 1962,Earl G. Graves Jr.,,190 centimetre,,91 kilogram,"Earl G. Graves, Jr.",,,,Scarsdale,Harvard University; Yale University; Harvard Business School; Scarsdale High School,male,,
Q3713563,player,United States of America,07 February 1920,Don Martin (basketball),,201 centimetre,,210 pound,Don Martin,English,,,Poplar Bluff,University of Central Missouri,male,,
Q2318756,player,United States of America,18 August 1964,Kenny Walker (basketball),,203 centimetre,,95 kilogram,Kenny Walker,English,Sky; Sky Skillet,,Roberta,University of Kentucky; Crawford County High School,male,1997,1986
Q2317038,player,Puerto Rico,23 May 1985,Peter John Ramos,,221 centimetre,,125 kilogram,Peter John Ramos,,,,Fajardo,,male,,2001
Q5482711,player,United States of America,29 August 1930,Skippy Whitaker,,185 centimetre,,180 pound,Skippy Whitaker,English,,,Louisville,University of Kentucky; Sarasota High School,male,,
Q65969713,player,United States of America,19 June 1996,Jeremiah Martin,,191 centimetre,,84 kilogram; 185 pound,Jeremiah Martin,,,,Memphis,University of Memphis; Mitchell High School,male,,2019
Q2317014,player,United States of America,29 April 1978,Jason Hart (basketball),,191 centimetre,,180 pound,Jason Hart,English,,,Los Angeles,Inglewood High School; Syracuse University,male,2010,2000
Q3713573,player,United States of America,18 April 1921,Don Otten,,208 centimetre,,240 pound,Don Otten,English,,,Bellefontaine,Bellefontaine High School,male,1953,1946
Q3713590,player,United States of America,07 January 1927,Don Rehfeldt,,201 centimetre,,210 pound,Don Rehfeldt,English,,,Chicago,University of Wisconsin–Madison; Amundsen High School,male,1952,1950
Q3713631,player,United States of America,25 February 1969,Donald Hodge (basketball),,213 centimetre,,104 kilogram,Donald Hodge,English,,,"Washington, D.C.",Temple University,male,,
Q3714040,player,United States of America,15 December 1983,Dontell Jefferson,,196 centimetre,,88 kilogram,Dontell Jefferson,English,,,Cordele,Stephenson High School; University of Arkansas,male,,2006
Q3714270,player,United States of America,07 September 1943,Dorie Murrey,,203 centimetre,,215 pound,Dorie Murrey,English,,,Detroit,University of Detroit Mercy; Cass Technical High School,male,1972,1966
Q66133404,player,Turkey,25 July 2002,Alperen %C5%9Eeng%C3%BCn,,2.08 metre,,,Alperen Şengün,Turkish,,,Giresun,,male,,2012
Q3716817,player,United States of America,06 January 1964,Dwayne Washington (basketball),,188 centimetre,,86 kilogram,Dwayne Washington,English,,,Brooklyn,Syracuse University; Boys and Girls High School,male,1991,1986
Q599161,player,United States of America,14 November 1961,Ben Coleman (basketball),,206 centimetre,,107 kilogram,Ben Coleman,English,,,Minneapolis,University of Maryland; University of Minnesota; North Community High School,male,1997,1984
Q600960,player,United States of America,15 February 1959,Peter Verhoeven,,206 centimetre,,98 kilogram,Peter Verhoeven,English,,,Hanford,"Hanford Joint Union High School District; California State University, Fresno",male,1989,1981
Q5316144,player,United States of America,22 May 1958,Roger Burkman,,196 centimetre,,79 kilogram,Roger Burkman,English,,,Indianapolis,University of Louisville; Franklin Central High School,male,1982,1981
Q3718874,player,United States of America,15 August 1921,Ed Stanczak,,185 centimetre,,185 pound,Ed Stanczak,English,,,Fort Wayne,,male,1951,1946
Q5397323,player,United States of America,02 May 1945,John Morrison (basketball),,188 centimetre,,190 pound,John Morrison,English,,,Roselle Park,Canisius University,male,,
Q5480389,player,United States of America,30 May 1964,Dominic Pressley,,188 centimetre,,170 pound,Dominic Pressley,English,,,"Washington, D.C.",Boston College,male,,
Q3718947,player,United States of America,18 June 1931,Eddie Miller (basketball),,203 centimetre,,225 pound,Eddie Miller,English,,,New Rochelle,Syracuse University,male,1954,1952
Q5548413,player,Greece,03 July 1997,Georgios Papagiannis,,219 centimetre,,125 kilogram,Giorgos Papagiannis,,,,Marousi,Westtown School,male,,2012
Q3713595,player,United States of America,09 April 1928,Don Savage (basketball),,191 centimetre,,205 pound,Don Savage,English,,,Syracuse,Le Moyne College,male,1956,1951
Q2309496,player,United States of America,19 December 1969,Tom Gugliotta,,208 centimetre,,109 kilogram,Tom Gugliotta,English,,,New York City,"North Carolina State University; Walt Whitman High School, South Huntington",male,2005,1992
Q2311784,player,United States of America,21 June 1983,Ronnie Price,,188 centimetre,,86 kilogram,Ronnie Price,English,,,Friendswood,Clear Brook High School; Utah Valley University; Nicholls State University,male,2017,2005
Q2316073,player,United States of America,14 August 1981,Earl Barron,,213 centimetre,,111 kilogram,Earl Barron,English,,,Clarksdale,University of Memphis,male,2017,2003
Q2317040,player,United States of America,28 December 1960,Melvin Turpin,,211 centimetre,,109 kilogram,Melvin Turpin,English,Dinner Bell; Big Dipper; The Mealman; El Mel; El Mucho Grande,,Lexington,University of Kentucky; Bryan Station High School,male,1990,1984
Q3716814,player,United States of America,08 August 1971,Dwayne Morton,,201 centimetre,,195 pound,Dwayne Morton,English,,,Louisville,Central High School; University of Louisville,male,2012,1994
Q65962094,player,United States of America,17 November 1995,Zylan Cheatham,,203 centimetre; 201 centimetre,,225 pound; 102 kilogram,Zylan Cheatham,,,,Phoenix,San Diego State University; St. Mary's Catholic High School,male,,2019
Q66012124,player,United States of America,1924,Paul Anthony (basketball),,,,195 pound,Paul Anthony,,,,Glassport,Washington & Jefferson College,male,,
Q3718950,player,United States of America,29 September 1961,Eddie Phillips (basketball),,201 centimetre,,225 pound,Eddie Phillips,English,,,Birmingham,University of Alabama,male,1995,1982
Q5316027,player,United States of America,29 May 1973,Etdrick Bohannon,,206 centimetre,,220 pound,Etdrick Bohannon,English,,,San Bernardino,Maine Central Institute; University of Arizona,male,,
Q3713660,player,United States of America,25 April 1969,Donald Whiteside,,178 centimetre,,160 pound,Donald Whiteside,English,,,Chicago,Northern Illinois University; Leo Catholic High School,male,2001,1992
Q2318219,player,United States of America,22 June 1973,Cory Alexander,,185 centimetre,,84 kilogram,Cory Alexander,English,,,Waynesboro,Waynesboro High School; University of Virginia,male,2005,1995
Q3714604,player,United States of America,03 August 1969,Doug Overton,,190 centimetre,,190 pound,Doug Overton,English,,,Philadelphia,Murrell Dobbins Vocational School; La Salle University,male,2005,1991
Q3718855,player,United States of America,13 October 1932,Ed Kalafat,,198 centimetre,,111 kilogram,Ed Kalafat,English,,,Anaconda,University of Minnesota,male,1957,1954
Q3718861,player,United States of America,20 October 1925,Ed Mikan,,203 centimetre,,230 pound,Ed Mikan,English,,,Joliet,Joliet Catholic Academy; DePaul University,male,1954,1948
Q3718866,player,United States of America,24 December 1956,Ed Rains,,201 centimetre,,190 pound,Ed Rains,English,,,Ocala,Forest High School; University of South Alabama,male,,
Q3718945,player,United States of America,03 October 1948,Eddie Mast,,206 centimetre,,220 pound,Eddie Mast,English,,,Philadelphia,Temple University; Louis E. Dieruff High School,male,1981,1969
Q3721229,player,United States of America,14 December 1967,Eldridge Recasner,,191 centimetre,,86 kilogram,Eldridge Recasner,English,,,New Orleans,University of Washington; Alfred Lawless High School,male,2002,1990
Q3713597,player,United States of America,10 October 1951,"Don Smith (basketball, born 1951)",,183 centimetre,,160 pound,Don Smith,English,,,Dayton,Thurgood Marshall High School; University of Dayton,male,1975,1974
Q65962117,player,United States of America,24 September 1999,Isaiah Mobley,,,,235 pound,Isaiah Mobley,,,,San Diego,University of Southern California,male,,
Q5489167,player,United States of America,04 March 1931,Frank Reddout,,196 centimetre,,88 kilogram,Frank Reddout,English,,,Naples,Syracuse University,male,,
Q66187310,player,United States of America,18 December 2001,Jalen Johnson,,2.03 metre,,,Jalen Johnson,,,,Wausau,Duke University; Nicolet High School,male,,
Q66006732,player,United States of America,04 June 1997,Josh Reaves,,193 centimetre,,185 pound,Joshua Reaves,,,,Fairfax,Pennsylvania State University; Paul VI Catholic High School,male,,2019
Q3715907,player,United States of America,02 August 1956,Duck Williams,,188 centimetre,,180 pound,Duck Williams,English,,,Demopolis,University of Notre Dame,male,,
Q3718733,player,United States of America,31 December 1923,Aud Brindley,,193 centimetre,,175 pound,Aud Brindley,English,,,Mineola,Dartmouth College,male,1947,1946
Q3718722,player,United States of America,29 January 1953,Nate Barnett,,190 centimetre,,175 pound,Nate Barnett,English,Nate the Snake,,Ibadan,Mergenthaler Vocational-Technical High School,male,1976,1975
Q601816,player,United States of America,26 September 1947,Lucius Allen,,188 centimetre,,80 kilogram,Lucius Allen,English,,,Kansas City,"Wyandotte High School; University of California, Los Angeles",male,1979,1969
Q3713656,player,United States of America,22 April 1952,Donald Washington (basketball),,203 centimetre,,210 pound,Donald Washington,English,,,"Washington, D.C.",University of North Carolina at Chapel Hill,male,1989,1973
Q5525214,player,United States of America,14 September 1994,Gary Harris,,193 centimetre,,95 kilogram,Gary Harris,English,,,Fishers,Michigan State University; Hamilton Southeastern High School,male,,2014
Q5481840,player,United States of America,20 November 1927,Francis Mahoney (basketball),,188 centimetre,,93 kilogram,Francis Mahoney,English,,,Brooklyn,Brown University,male,,
Q600954,player,United States of America,16 March 1986,Toney Douglas,,188 centimetre,,86 kilogram,Toney Douglas,English,,,Jonesboro,Auburn University; Jonesboro High School,male,,2009
Q608749,player,United States of America,17 March 1942,Willie Somerset,,173 centimetre,,77 kilogram,Willie Somerset,English,,,Sharon,Duquesne University,male,1973,1965
Q609300,player,United States of America,02 December 1985,Dorell Wright,,206 centimetre,,93 kilogram; 95 kilogram,Dorell Wright,English,,,Los Angeles,South Kent School; Leuzinger High School,male,,2004
Q2309475,player,United States of America,08 September 1970,Clarence Weatherspoon,,198 centimetre,,109 kilogram,Clarence Weatherspoon,English,,,Crawford,University of Southern Mississippi,male,2005,1992
Q2311290,player,United States of America,01 February 1973,Andrew DeClercq,,208 centimetre,,105 kilogram,Andrew DeClercq,English,,,Detroit,University of Florida; Countryside High School,male,2005,1995
Q2312912,player,Serbia; Bosnia and Herzegovina,08 August 1976,Aleksandar Radojevi%C4%87,,221 centimetre,,114 kilogram,Aleksandar Radojević,,,,Herceg Novi,Barton Community College,male,2012,1999
Q2316224,player,United States of America,23 November 1958,Frank Johnson (basketball),,185 centimetre,,84 kilogram,Frank Johnson,English,,,Weirsdale,Lake Weir High School; Wake Forest University,male,1994,1981
Q2317740,player,United States of America,02 December 1978,Jason Collins,,213 centimetre,,116 kilogram,Jason Collins,English,,,Los Angeles,Stanford University; Sierra Canyon School; Harvard-Westlake School,male,2014,2001
Q3718838,player,United States of America,02 September 1933,Ed Conlin,,196 centimetre,,200 pound,Ed Conlin,English,,,Brooklyn,Fordham University,male,1962,1955
Q608514,player,United States of America,18 December 1963,Charles Oakley,,203 centimetre,,102 kilogram,Charles Oakley,English,,,Cleveland,Virginia Union University,male,2004,1985
Q2315791,player,Senegal,12 May 1986,Mouhamed Sene,,211 centimetre,,104 kilogram,Mouhamed Sene,,,,Thiès,,male,2016,2005
Q2318726,player,United States of America,25 July 1971,Tracy Murray,,201 centimetre,,102 kilogram,Tracy Murray,English,,,Los Angeles,"Glendora High School; University of California, Los Angeles",male,2007,1992
Q65952023,player,United States of America,28 March 1996,Max Strus,,196 centimetre,,215 pound,Max Strus,,,,Cook County,Amos Alonzo Stagg High School; DePaul University,male,,2019
Q3718509,player,United States of America,06 August 1930,"Tom Brennan (basketball, born 1930)",,190 centimetre,,88 kilogram,Tom Brennan,English,,,Brooklyn,Villanova University,male,1955,1954
Q66071852,player,United States of America,12 October 2001,MarJon Beauchamp,,1.98 metre,,,MarJon Beauchamp,,,,Yakima,,male,,
Q2309877,player,United States of America,18 August 1969,Isaac Austin,,208 centimetre,,116 kilogram,Isaac Austin,English,,,Gridley,Reedley College; Arizona State University; Las Plumas High School,male,2004,1991
Q3713560,player,United States of America,18 November 1928,Don Lofgran,,196 centimetre,,91 kilogram,Don Lofgran,English,,,Oakland,University of San Francisco; Oakland Technical High School; Oakland High School,male,1954,1950
Q3714607,player,United States of America,24 August 1967,Doug Roth,,211 centimetre,,255 pound,Doug Roth,English,,,Knoxville,"University of Tennessee, Knoxville; Karns High School",male,1994,1989
Q3716818,player,United States of America,21 August 1972,Dwayne Whitfield,,201 centimetre,,109 kilogram,Dwayne Whitfield,English,,,Aberdeen,Jackson State University,male,,
Q3718691,player,United States of America,02 February 1935,Jerry Bird,,198 centimetre,,210 pound,Jerry Bird,English,,,Corbin,University of Kentucky,male,1959,1958
Q65950890,player,United States of America,11 June 2001,Sharife Cooper,,185 centimetre,,81 kilogram,Sharife Cooper,,,,Newark,McEachern High School; Auburn University,male,,
Q5476003,player,United States of America,17 June 1926,Jim Springer,,206 centimetre,,235 pound,Jim Springer,English,,,Roachdale,Canterbury College,male,1949,1947
Q3718833,player,United States of America,12 August 1945,Eddie Biedenbach,,185 centimetre,,175 pound,Ed Biedenbach,English,,,Pittsburgh,North Carolina State University,male,,
Q598461,player,United States of America,03 December 1951,Jim Brewer (basketball),,206 centimetre,,95 kilogram,Jim Brewer,English,,,Maywood,University of Minnesota; Proviso East High School,male,1985,1973
Q5316107,player,United States of America,08 January 1953,Jim Bostic,,201 centimetre,,225 pound,Jim Bostic,English,,,Brooklyn,Gorton High School; New Mexico State University,male,,
Q2318539,player,United States of America,01 April 1964,Kevin Duckworth,,213 centimetre,,125 kilogram,Kevin Duckworth,English,,,Harvey,Eastern Illinois University; Thornridge High School,male,1997,1986
Q5487769,player,United States of America,25 June 1925,Frank Kudelka (basketball),,188 centimetre,,193 pound,Frank Kudelka,English,,,San Francisco,Lowell High School; Saint Mary's College of California,male,1953,1949
Q600804,player,United States of America,23 December 1934,Dan Swartz,,193 centimetre,,98 kilogram,Dan Swartz,English,,,Owingsville,Morehead State University,male,1963,1959
Q601681,player,United States of America,11 April 1976,Tremaine Fowlkes,,203 centimetre,,100 kilogram,Tremaine Fowlkes,English,,,Los Angeles,"University of California, Berkeley; Crenshaw High School",male,2007,1998
Q608639,player,United States of America,26 August 1959,Stan Van Gundy,,1.73 metre,,270 pound,Stan Van Gundy,English,,,Indio,St. Thomas University; State University of New York at Brockport,male,,
Q3715644,player,United States of America,31 August 1964,Duane Washington,,193 centimetre,,195 pound,Duane Washington,English,,,Eschwege,Parkview Arts and Science Magnet High School; Middle Tennessee State University,male,2000,1987
Q526328,player,Latvia,09 September 1989,Dairis Bert%C4%81ns,,192 centimetre,,200 pound,Dairis Bertāns,,,,Valmiera,,male,,2004
Q3641360,player,United States of America,08 March 1926,Bob Wilson (basketball),,193 centimetre,,220 pound,Bob Wilson,English,Bob,,Clarksburg,West Virginia State University; Kelly Miller High School,male,,
Q3706949,player,United States of America,20 December 1948,Dick Gibbs (basketball),,196 centimetre,,210 pound,Dick Gibbs,English,,,Ames,University of Texas at El Paso; Ames High School,male,1976,1971
Q3641347,player,United States of America,10 July 1962,Bob Thornton,,208 centimetre,,102 kilogram,Bob Thornton,English,,,Los Angeles,"University of California, Irvine; Saddleback College; Mission Viejo High School",male,1996,1984
Q3641333,player,United States of America,22 March 1947,Bob Portman,,196 centimetre,,200 pound,Bob Portman,English,,,San Francisco,St. Ignatius College Preparatory; Creighton University,male,1973,1969
Q3641356,player,United States of America,22 December 1938,Bob Wiesenhahn,,193 centimetre,,215 pound,Bob Wiesenhahn,English,,,Cincinnati,University of Cincinnati; Archbishop McNicholas High School,male,1963,1961
Q211876,player,United States of America,06 August 1965,David Robinson,,216 centimetre,,107 kilogram,David Robinson,English,The Admiral; D-Rob,,Key West,Osbourn Park High School; United States Naval Academy,male,2003,1989
Q3641359,player,United States of America,12 May 1931,"Bob Williams (basketball, born 1931)",,198 centimetre,,230 pound,Bob Williams,English,,,Pensacola,Booker T. Washington High School,male,,
Q519221,player,United States of America,25 March 1955,Andy Walker (basketball),,193 centimetre,,86 kilogram,Andy Walker,English,,,Queens,Niagara University,male,,
Q4957612,player,United States of America,28 October 1960,Brant Weidner,,206 centimetre,,230 pound,Brant Weidner,English,,,Orefield,College of William & Mary; DePaul University; Parkland High School,male,1984,1983
Q4017908,player,United States of America,21 December 1931,Corky Devlin,,196 centimetre,,195 pound,Corky Devlin,English,,,Newark,George Washington University; Central High School,male,1958,1955
Q4018597,player,United States of America,06 December 1966,Wayne Engelstad,,203 centimetre,,111 kilogram,Wayne Englestad,English,,,Rosemead,"Don Bosco Technical Institute; University of California, Irvine",male,,1988
Q4018612,player,Jamaica,17 November 1960,Wayne Sappleton,,206 centimetre,,215 pound,Wayne Sappleton,,,,Kingston,Loyola University Chicago; Ardenne High School,male,1993,1982
Q3641352,player,United States of America,20 March 1941,Bob Warlick,,196 centimetre,,91 kilogram,Bob Warlick,English,,,Hickory,Pepperdine University,male,,
Q3641399,player,United States of America,22 December 1946,Bobby Hooper (basketball),,183 centimetre,,82 kilogram,Bobby Hooper,English,,,Lees Creek,University of Dayton,male,,
Q3641400,player,United States of America,08 March 1941,Bobby Joe Edmonds (basketball),,198 centimetre,,220 pound,Bobby Joe Edmonds,English,,,Indianapolis,Tennessee State University; Crispus Attucks High School,male,1970,1967
Q364295,player,United States of America,13 July 1963,Spud Webb,,168 centimetre,,60 kilogram,Spud Webb,English,,,Dallas,Wilmer-Hutchins High School; Ohio State University; Midland College; North Carolina State University,male,1998,1985
Q4120761,player,United States of America,25 June 1926,Leon Blevins,,188 centimetre,,160 pound,Leon Blevins,English,,,Black Oak,University of Arizona; Phoenix College,male,1951,1950
Q3641340,player,United States of America,29 March 1933,Bob Schafer,,191 centimetre,,195 pound,Bob Schafer,English,,,Philadelphia,Villanova University; Roman Catholic High School,male,1956,1955
Q3641353,player,United States of America,07 September 1945,Bob Verga,,185 centimetre,,190 pound,Bob Verga,English,,,Neptune Township,Duke University; St. Rose High School,male,1977,1967
Q3641357,player,United States of America,15 August 1954,Bob Wilkerson,,198 centimetre,,195 pound,Bob Wilkerson,English,,,Anderson,Indiana University Bloomington,male,1983,1976
Q518561,player,United States of America,19 July 1943,Jay Miller (basketball),,196 centimetre,,93 kilogram,Jay Miller,English,,,St. Louis,University of Notre Dame; Goshen High School,male,,
Q443730,player,Slovenia,03 July 1980,Bo%C5%A1tjan Nachbar,,205 centimetre; 206 centimetre,,103 kilogram; 102 kilogram,Boštjan Nachbar,,,,Slovenj Gradec,,male,2017,1997
Q3706951,player,United States of America,29 October 1921,Dick Holub,,198 centimetre,,205 pound,Dick Holub,English,,,Racine,Columbia University; New York University,male,1952,1947
Q3707680,player,United States of America,19 January 1925,Dillard Crocker,,193 centimetre,,93 kilogram,Dillard Crocker,English,,,Coffee County,Western Michigan University,male,1953,1948
Q5006560,player,United States of America,19 September 1991,CJ McCollum,,191 centimetre,,89 kilogram,CJ McCollum,,,,Canton,Lehigh University; GlenOak High School,male,,2013
Q204285,player,United States of America,25 January 1983,Josh Powell,,206 centimetre,,102 kilogram,Josh Powell,English,,,Charleston,North Carolina State University,male,2017,2003
Q519298,player,United States of America,11 June 1983,Chuck Hayes,,198 centimetre,,109 kilogram,Chuck Hayes,English,,,San Leandro,University of Kentucky; Modesto Christian School,male,2015,2005
Q525461,player,Trinidad and Tobago,10 July 1951,Ken Charles,,191 centimetre,,82 kilogram,Ken Charles,,,,Trinidad and Tobago,Brooklyn Preparatory School; Fordham University,male,1977,1973
Q316183,player,United States of America,22 June 1947,Pete Maravich,,196 centimetre,,90 kilogram,Pete Maravich,English,,,Aliquippa,D. W. Daniel High School; Louisiana State University; Louisiana State University; Needham B. Broughton High School,male,1980,1970
Q364394,player,United States of America,25 August 1970,Robert Horry,,208 centimetre,,100 kilogram,Robert Horry,English,,,Andalusia,Andalusia High School; University of Alabama,male,2008,1992
